133 17700: 107: =S13.0,					auf nächste Zeilen verteilt
134 17700: 150: =E99.0,					auf nächste Zeilen verteilt
135 17705: 0: =E3.12,                   17705: 0: =E3.12,
136 17705: 97: =E3.1143,				auf nächste Zeilen verteilt
137 17705: 107: =S13.0,					auf nächste Zeilen verteilt
138 17705: 150: =E99.0,					auf nächste Zeilen verteilt
139 17710: 0: =E3.12,                   17710: 0: =E3.12,
140 17710: 97: =E3.1153,				auf nächste Zeilen verteilt
141 17710: 142: =S12.0,					auf nächste Zeilen verteilt
142 17771: 0: =E15.10,                  17771: 0: =E15.10,
143 17771: 92: =E15.1,					auf nächste Zeilen verteilt
144 17800: 0: =E99.0,                   17800: 0: =E99.0,
145 17820: 0: =P0,                      17820: 0: =P0,
146 17820: 4: =E15.2,                   17820: 5: =E15.2,
147 17835: 0: =E15.3,                   17835: 0: =E15.3,
148 17838: 28: =E99.0,					auf nächste Zeilen verteilt
149 17870: 0: =P2,                      17870: 0: =P2,
150 17870: 4: =E5.0,                    17870: 5: =E5.0,
151 17905: 153: =E99.0,                 17905: 0: =E99.0,
152 17970: 0: =942,                     17970: 0: =942,
153 18000: 1: =941,                     18000: 1: =941,
154 18010: 1: =942,                     18010: 1: =942,
155 18025: 3: =942,                     18025: 0: =942,
156 18025: 3: =942,                     18025: 0: =942,
157 18355: 40: =S14.0,                  18355: 0: =S14.0,
158 18355: 146: =E4.10,					auf nächste Zeilen verteilt
159 18355: 154: =W0.32,					auf nächste Zeilen verteilt
160 18355: 162: =E99.0,					auf nächste Zeilen verteilt
161 18535: 1: =967,                     18535: 1: =967,
162 18685: 0: =936,                     18685: 0: =936,
163 18685: 5: =968,                     18685: 5: =968,
164 18850: 1: =968,                     18850: 1: =968,
165 18900: 0: =970,                     18900: 0: =970,
166 18910: 0: =970,                     18910: 0: =970,
167 18920: 0: =938,                     18920: 0: =938,
168 19020: 0: =921,                     19020: 0: =921,
169 19520: 0: =921,                     19520: 0: =921,
170 19555: 0: =944,                     19555: 0: =944,
171 19555: 5: =945,                     19555: 5: =945,
172 19620: 0: =G12.0,                   19620: 0: =G12.0,
173 19640: 0: =S27.15,                  19640: 0: =S27.15,
174 19640: 9: =F30,                     19640: 9: =F30,
175 19665: 0: =G13.0,                   19665: 0: =G13.0,
176 19695: 0: =946,                     19695: 0: =946,
177 19695: 5: =947,                     19695: 5: =947,
178 19880: 0: =916,                     19880: 0: =916,
179 19880: 5: =917,                     19880: 5: =917,
180 20085: 0: =E11.10,                  20085: 0: =E11.10,
181 20095: 0: =E11.1,                   20095: 0: =E11.1,
182 20103: 0: =E12.10,                  20103: 0: =E12.10,
183 20107: 0: =E99.0,                   20107: 0: =E99.0,
184 20390: 0: =910,                     20390: 0: =910,
185 20520: 0: =909,                     20520: 0: =909,
186 20535: 0: =931,                     20535: 0: =931,
187 20755: 0: =P3,                      20755: 0: =P3,
188 20805: 0: =J0,                      20805: 0: =J0,
189 20825: 0: =S21.0,                   20825: 0: =S21.0,
190 20825: 8: =E9.10,                   20825: 8: =E9.10,
191 20835: 0: =E9.11,                   20835: 0: =E9.11,
192 20855: 0: =E8.11,                   20855: 0: =E8.11,
193 20900: 0: =J3,                      20900: 0: =J3,
194 20920: 50: =G16.0,                  20920: 0: =G16.0,
195 20925: 0: =G16.0,                   20925: 0: =G16.0,
196 20935: 84: =G17.0,                  20935: 0: =G17.0,
197 20965: 0: =J0,                      20965: 0: =J0,
198 20990: 0: =P2,                      20990: 0: =P2,
199 20995: 0: =E7.2,                    20995: 0: =E7.2,
200 21000: 0: =E7.3,                    21000: 0: =E7.3,
201 21010: 0: =P2,                      21010: 0: =P2,
202 21040: 0: =J2,                      21040: 0: =J2,
203 21045: 0: =J2,                      21045: 0: =J2,
204 21050: 0: =J0,                      21050: 0: =J0,
205 21060: 0: =J1,                      21060: 0: =J1,
206 21085: 0: =E10.2,                   21085: 0: =E10.2,
207 21095: 0: =E10.10,                  21095: 0: =E10.10,
208 21100: 0: =E10.10,                  21100: 0: =E10.10,
209 21110: 0: =E10.11,                  21110: 0: =E10.11,
210 21480: 0: =971,                     21480: 0: =971,
211 21485: 0: =972,                     21485: 0: =972,
212 21490: 0: =973,                     21490: 0: =973,
213 21495: 0: =974,                     21495: 0: =974,
214 21700: 71: =G6.0,                   21700: 0: =G6.0,
215 21705: 71: =G3.0,                   21705: 0: =G3.0,
216 21710: 71: =G4.0,                   21710: 0: =G4.0,
217 21715: 71: =G5.0,                   21715: 0: =G5.0,
218 21720: 1: =971,                     21720: 1: =971,
219 21720: 17: =973,                    21720: 16: =973,
220 21720: 33: =972,                    21720: 31: =972,
221 21720: 49: =974,                    21720: 46: =974,
222 21725: 2: =971,                     21725: 2: =971,
223 21725: 17: =973,                    21725: 16: =973,
224 21725: 33: =972,                    21725: 31: =972,
225 21725: 49: =974,                    21725: 46: =974,
226 21730: 2: =971,                     21730: 2: =971,
227 21730: 18: =973,                    21730: 17: =973,
228 21730: 33: =972,                    21730: 31: =972,
229 21730: 49: =974,                    21730: 46: =974,
230 21735: 2: =971,                     21735: 2: =971,
231 21735: 18: =973,                    21735: 17: =973,
232 21735: 34: =972,                    21735: 32: =972,
233 21735: 49: =974,                    21735: 46: =974,
234 21800: 98: =G7.0,					21800: 0: =G7.0,
235 21801: 0: =G8.0,					21803: 0: =G8.0,
236 21840: 0: =P3,                      21840: 0: =P3,
237 21840: 4: =E13.0,                   21840: 4: =E13.0,
238 21844: 75: =E99.0,					21859: 0: =E99.0,
239 21880: 0: =P3,                      21880: 0: =P3,
240 21881: 23: =S31.0,                  21881: 0: =S31.0,
241 21881: 30: =G19.0,					21883
242 21881: 37: =F31,					21882
243 21940: 0: =P3,                      21940: 0: =P3,
244 21941: 57: =S32.0,					21948
245 21941: 65: =F32,					21948
246 21960: 0: =E14.2,                   21960: 0: =E14.2,
247 21966: 1: =E99.0,                   21966: 0: =E99.0,
248 22345: 0: =S17.0,                   22345: 0: =S17.0,
249 22345: 8: =E6.0,                    22345: 8: =E6.0,
250 22355: 0: =S18.0,                   22355: 0: =S18.0,
251 22355: 8: =E6.11,                   22355: 8: =E6.11,
252 24090: 0: =931,                     24090: 0: =931,
253 24090: 5: =948,                     24090: 6: =948,
254 24555: 0: =957,                     24555: 0: =957,
255 24770: 0: =P0,                      24770: 0: =P0,
256 24770: 4: =S28.10,                  24770: 4: =S28.10,
257 24770: 13: =F9,                     24770: 13: =F9,
258 25250: 0: =P3,                      25250: 0: =P3,
259 25470: 84: =G20.0,                  25470: 0: =G20.0,
260 25480: 73: =G20.0,                  25480: 0: =G20.0,
261 25485: 77: =G20.0,                  25485: 0: =G20.0,
262 25490: 73: =G20.0,                  25490: 0: =G20.0,
263 25610: 0: =901,                     25610: 0: =901,
264 25626: 0: =952,                     25626: 0: =952,
265 25670: 0: =901,                     25670: 0: =901,
266 25700: 0: =901,                     25700: 0: =901,
267 25790: 1: =943,                     25790: 1: =943,
268 25920: 0: =P1,                      25920: 0: =P1,
269 25920: 4: =G21.0,                   25920: 4: =G21.0,
270 25922: 0: =P1,                      25922: 0: =P1,
271 25922: 4: =G21.0,                   25922: 4: =G21.0,
272 26100: 0: =E14.0,                   26100: 0: =E14.0,
273 26101: 146: =E99.0,					26108
274 26110: 0: =E14.11,                  26110: 0: =E14.11,
275 27040: 1: =944,                     27040: 1: =944,
276 27040: 16: =946,                    27040: 16: =946,
277 27055: 1: =945,                     27055: 1: =945,
278 27055: 23: =947,					omitted, makes no sense in ENG menu
279 27230: 0: =949,                     27230: 0: =949,
280 27250: 0: =923,                     27250: 0: =923,
281 27310: 0: =921,                     27310: 0: =921,
282 27330: 0: =924,                     27330: 0: =924,
283 27350: 0: =916,                     27350: 0: =916,
284 27380: 0: =917,                     27380: 0: =917,
285 27390: 0: =943,                     27390: 0: =943,
